"component","origin","license","copyright"
"github.com/microsoftgraph/msgraph-sdk-go","github.com/microsoftgraph/msgraph-sdk-go","['MIT']","['Microsoft Graph']"
"github.com/microsoft/kiota-authentication-azure-go","github.com/microsoft/kiota-authentication-azure-go","['MIT']","['Microsoft Corporation']"
"github.com/microsoft/kiota-http-go","github.com/microsoft/kiota-http-go","['MIT']","['Microsoft Corporation']"
"github.com/microsoft/kiota-serialization-json-go","github.com/microsoft/kiota-serialization-json-go","['MIT']","['Microsoft Corporation']"
"github.com/microsoftgraph/msgraph-sdk-go-core","github.com/microsoftgraph/msgraph-sdk-go-core","['MIT']","['Microsoft Graph']"
"github.com/microsoft/kiota-abstractions-go","github.com/microsoft/kiota-abstractions-go","['MIT']","['Microsoft Corporation']"
"github.com/microsoftgraph/msgraph-beta-sdk-go","github.com/microsoftgraph/msgraph-beta-sdk-go","['MIT']","['Microsoft Graph']"
"github.com/aws/aws-sdk-go-v2/service/bedrockruntime","github.com/aws/aws-sdk-go-v2/service/bedrockruntime","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/network/armnetwork/v6","github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/network/armnetwork/v6","['MIT']","['Microsoft Corporation']"
"github.com/aws/aws-sdk-go-v2/internal/v4a","github.com/aws/aws-sdk-go-v2/internal/v4a","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/internal/checksum","github.com/aws/aws-sdk-go-v2/service/internal/checksum","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"docker/login-action","docker/login-action","[]","[]"
"docker/build-push-action","docker/build-push-action","[]","[]"
"step-security/harden-runner","step-security/harden-runner","[]","[]"
"goreleaser/goreleaser-action","goreleaser/goreleaser-action","[]","[]"
"ossf/scorecard-action","ossf/scorecard-action","[]","[]"
"github/codeql-action/upload-sarif","github/codeql-action/upload-sarif","[]","[]"
"dominikh/staticcheck-action","dominikh/staticcheck-action","[]","[]"
"hashicorp/setup-terraform","hashicorp/setup-terraform","[]","[]"
"com.github.DataDog/stratus-red-team","git+https://github.com/DataDog/stratus-red-team","['Apache-2.0']","['Datadog, Inc.']"

